orig_question_num,question,possible_answers,correct_answer,text,context_num
Q_102,Where was an evacuation center set up by the Red Cross?,"['Oroville Elementary School', 'Oroville High School', 'Oroville City Hall', 'Oroville Community Center']",1,"### Article: Eagle Bluff Fire.
### Section: Impact.
### Subsection: Closures and evacuations.
### Text: On July 29, 2023, Level 3 evacuations were issued for anyone living on both the East and West sides of State Route 97 from Shirley Road near the US-Canada border to Oroville. The next day at 6:00 pm PT, all Level 3 evacuations were lowered to Level 2. Residents were allowed to return to their homes but were told to be prepared to evacuate if necessary. An evacuation center has been set up by the Red Cross at Oroville High School in Oroville, Washington. Roads bordering U. S. Highway 97 that link Oroville and Osoyoos, British Columbia, were closed. On July 30, those roads were reopened. Routes through the area affected by the fire between the communities of Oroville, Nighthawk, and Loomis are still closed.",4
Q_103,"What happened to the roads bordering U.S. Highway 97 on July 30, 2023?","['They were closed', 'They were reopened', 'They were restricted', 'They were rerouted']",1,"### Article: Eagle Bluff Fire.
### Section: Impact.
### Subsection: Closures and evacuations.
### Text: On July 29, 2023, Level 3 evacuations were issued for anyone living on both the East and West sides of State Route 97 from Shirley Road near the US-Canada border to Oroville. The next day at 6:00 pm PT, all Level 3 evacuations were lowered to Level 2. Residents were allowed to return to their homes but were told to be prepared to evacuate if necessary. An evacuation center has been set up by the Red Cross at Oroville High School in Oroville, Washington. Roads bordering U. S. Highway 97 that link Oroville and Osoyoos, British Columbia, were closed. On July 30, those roads were reopened. Routes through the area affected by the fire between the communities of Oroville, Nighthawk, and Loomis are still closed.",4
Q_132,On what date was the indictment against Donald Trump unsealed?,"['July 1, 2023', 'August 1, 2023', 'September 1, 2023', 'October 1, 2023']",1,"### Article: Federal prosecution of Donald Trump (election obstruction case).
### Section: Proceedings.
### Subsection: Indictment.
### Text: The indictment was unsealed on August 1, 2023. A grand jury in the U. S. District Court for the District of Columbia indicted Trump on four charges: conspiracy to defraud the United States, obstructing an official proceeding, conspiring to do so, and conspiracy against rights. D. C. district judge Tanya S. Chutkan was randomly assigned to hear the case. According to the indictment, on December 8, 2020, a senior campaign advisor admitted that ""our research and campaign legal team can't back up any of the claims. It's tough to own any of this when it's all just conspiracy shit beamed down from the mothership.",5
Q_133,How many charges was Donald Trump indicted on?,"['Two', 'Three', 'Four', 'Five']",2,"### Article: Federal prosecution of Donald Trump (election obstruction case).
### Section: Proceedings.
### Subsection: Indictment.
### Text: The indictment was unsealed on August 1, 2023. A grand jury in the U. S. District Court for the District of Columbia indicted Trump on four charges: conspiracy to defraud the United States, obstructing an official proceeding, conspiring to do so, and conspiracy against rights. D. C. district judge Tanya S. Chutkan was randomly assigned to hear the case. According to the indictment, on December 8, 2020, a senior campaign advisor admitted that ""our research and campaign legal team can't back up any of the claims. It's tough to own any of this when it's all just conspiracy shit beamed down from the mothership.",5
Q_134,Who was randomly assigned to hear the case against Donald Trump?,"['Tanya S. Chutkan', 'John Doe', 'Jane Smith', 'Richard Johnson']",0,"### Article: Federal prosecution of Donald Trump (election obstruction case).
### Section: Proceedings.
### Subsection: Indictment.
### Text: The indictment was unsealed on August 1, 2023. A grand jury in the U. S. District Court for the District of Columbia indicted Trump on four charges: conspiracy to defraud the United States, obstructing an official proceeding, conspiring to do so, and conspiracy against rights. D. C. district judge Tanya S. Chutkan was randomly assigned to hear the case. According to the indictment, on December 8, 2020, a senior campaign advisor admitted that ""our research and campaign legal team can't back up any of the claims. It's tough to own any of this when it's all just conspiracy shit beamed down from the mothership.",5
Q_135,On what date did a senior campaign advisor admit that the claims were unfounded?,"['November 8, 2020', 'December 8, 2020', 'January 8, 2021', 'February 8, 2021']",1,"### Article: Federal prosecution of Donald Trump (election obstruction case).
### Section: Proceedings.
### Subsection: Indictment.
### Text: The indictment was unsealed on August 1, 2023. A grand jury in the U. S. District Court for the District of Columbia indicted Trump on four charges: conspiracy to defraud the United States, obstructing an official proceeding, conspiring to do so, and conspiracy against rights. D. C. district judge Tanya S. Chutkan was randomly assigned to hear the case. According to the indictment, on December 8, 2020, a senior campaign advisor admitted that ""our research and campaign legal team can't back up any of the claims. It's tough to own any of this when it's all just conspiracy shit beamed down from the mothership.",5
Q_144,What was the category of Hurricane Franklin when it strengthened several days after impacting Hispaniola?,"['Category 1', 'Category 2', 'Category 3', 'High-end Category 4']",3,"### Article: Hurricane Franklin (2023).
### Section: Summary.
### Subsection: None.
### Text: Hurricane Franklin was a long-lived, erratic, and powerful hurricane that brought tropical-storm force winds to parts of the Greater Antilles and Bermuda. The seventh named storm, second hurricane and first major hurricane of the 2023 Atlantic hurricane season, Franklin impacted Hispaniola as a tropical storm before strengthening into a high-end Category 4 hurricane several days later. Possessing a large wind field, the hurricane produced tropical storm force winds over Bermuda and soon became extratropical as it accelerated into the open northern Atlantic. Franklin brought heavy rainfall and wind, causing damage to buildings, homes, and light posts. Two fatalities were reported in the Dominican Republic, with an additional person also missing. At least 350 people were displaced, and more than 500 homes and 2,500 roads were affected or damaged. Several communities in the Dominican Republic were cut off, and nearly 350,000 homes were left without power, with an additional 1. 6 million homes cut off from potable water.",6
Q_145,How many fatalities were reported in the Dominican Republic due to Hurricane Franklin?,"['1', '2', '3', '4']",1,"### Article: Hurricane Franklin (2023).
### Section: Summary.
### Subsection: None.
### Text: Hurricane Franklin was a long-lived, erratic, and powerful hurricane that brought tropical-storm force winds to parts of the Greater Antilles and Bermuda. The seventh named storm, second hurricane and first major hurricane of the 2023 Atlantic hurricane season, Franklin impacted Hispaniola as a tropical storm before strengthening into a high-end Category 4 hurricane several days later. Possessing a large wind field, the hurricane produced tropical storm force winds over Bermuda and soon became extratropical as it accelerated into the open northern Atlantic. Franklin brought heavy rainfall and wind, causing damage to buildings, homes, and light posts. Two fatalities were reported in the Dominican Republic, with an additional person also missing. At least 350 people were displaced, and more than 500 homes and 2,500 roads were affected or damaged. Several communities in the Dominican Republic were cut off, and nearly 350,000 homes were left without power, with an additional 1. 6 million homes cut off from potable water.",6
Q_146,What was the approximate number of homes left without power in the Dominican Republic due to Hurricane Franklin?,"['100,000', '200,000', '300,000', '350,000']",3,"### Article: Hurricane Franklin (2023).
### Section: Summary.
### Subsection: None.
### Text: Hurricane Franklin was a long-lived, erratic, and powerful hurricane that brought tropical-storm force winds to parts of the Greater Antilles and Bermuda. The seventh named storm, second hurricane and first major hurricane of the 2023 Atlantic hurricane season, Franklin impacted Hispaniola as a tropical storm before strengthening into a high-end Category 4 hurricane several days later. Possessing a large wind field, the hurricane produced tropical storm force winds over Bermuda and soon became extratropical as it accelerated into the open northern Atlantic. Franklin brought heavy rainfall and wind, causing damage to buildings, homes, and light posts. Two fatalities were reported in the Dominican Republic, with an additional person also missing. At least 350 people were displaced, and more than 500 homes and 2,500 roads were affected or damaged. Several communities in the Dominican Republic were cut off, and nearly 350,000 homes were left without power, with an additional 1. 6 million homes cut off from potable water.",6
Q_147,What was the status of Hurricane Franklin when it accelerated into the open northern Atlantic?,"['Tropical storm', 'Hurricane', 'Extratropical', 'Subtropical']",2,"### Article: Hurricane Franklin (2023).
### Section: Summary.
### Subsection: None.
### Text: Hurricane Franklin was a long-lived, erratic, and powerful hurricane that brought tropical-storm force winds to parts of the Greater Antilles and Bermuda. The seventh named storm, second hurricane and first major hurricane of the 2023 Atlantic hurricane season, Franklin impacted Hispaniola as a tropical storm before strengthening into a high-end Category 4 hurricane several days later. Possessing a large wind field, the hurricane produced tropical storm force winds over Bermuda and soon became extratropical as it accelerated into the open northern Atlantic. Franklin brought heavy rainfall and wind, causing damage to buildings, homes, and light posts. Two fatalities were reported in the Dominican Republic, with an additional person also missing. At least 350 people were displaced, and more than 500 homes and 2,500 roads were affected or damaged. Several communities in the Dominican Republic were cut off, and nearly 350,000 homes were left without power, with an additional 1. 6 million homes cut off from potable water.",6
Q_160,In what month was Fyter Fest previously held?,"['June', 'July', 'August', 'September']",1,"### Article: Fyter Fest (2023).
### Section: Production.
### Subsection: Background.
### Text: Fyter Fest is a professional wrestling event held annually during the summer by All Elite Wrestling (AEW) since 2019. After a rescheduling of the 2023 Fight for the Fallen, another annual television special that previously took place the week after Fyter Fest, AEW president Tony Khan announced that the fifth Fyter Fest would be held the week after that year's Fight for the Fallen during the go-home week for the All In pay-per-view, subsequently also moving Fyter Fest to August, which was previously held in July. While the previous year's event was held as a four-part special, the 2023 event was reduced to a three-part special due to the rescheduling of the 2023 Fight for the Fallen. The 2023 Fyter Fest in turn encompassed the August 23 episode of Wednesday Night Dynamite on TBS, the August 25 episode of Friday Night Rampage on TNT, and the August 26 episode of Saturday Night Collision also on TNT—Collision launched as a third program for AEW in June. Rampage was taped on August 19 at the Rupp Arena in Lexington, Kentucky and aired on tape delay on August 25, while Dynamite and Collision were both held on August 23 at the Gas South Arena in Duluth, Georgia with Dynamite airing live that night and Collision airing on tape delay on August 26.",7
Q_161,How many parts did the 2022 Fyter Fest have?,"['Two', 'Three', 'Four', 'Five']",2,"### Article: Fyter Fest (2023).
### Section: Production.
### Subsection: Background.
### Text: Fyter Fest is a professional wrestling event held annually during the summer by All Elite Wrestling (AEW) since 2019. After a rescheduling of the 2023 Fight for the Fallen, another annual television special that previously took place the week after Fyter Fest, AEW president Tony Khan announced that the fifth Fyter Fest would be held the week after that year's Fight for the Fallen during the go-home week for the All In pay-per-view, subsequently also moving Fyter Fest to August, which was previously held in July. While the previous year's event was held as a four-part special, the 2023 event was reduced to a three-part special due to the rescheduling of the 2023 Fight for the Fallen. The 2023 Fyter Fest in turn encompassed the August 23 episode of Wednesday Night Dynamite on TBS, the August 25 episode of Friday Night Rampage on TNT, and the August 26 episode of Saturday Night Collision also on TNT—Collision launched as a third program for AEW in June. Rampage was taped on August 19 at the Rupp Arena in Lexington, Kentucky and aired on tape delay on August 25, while Dynamite and Collision were both held on August 23 at the Gas South Arena in Duluth, Georgia with Dynamite airing live that night and Collision airing on tape delay on August 26.",7
Q_162,Where was the August 19 episode of Friday Night Rampage taped?,"['Gas South Arena', 'Rupp Arena', 'TBS Studio', 'TNT Studio']",1,"### Article: Fyter Fest (2023).
### Section: Production.
### Subsection: Background.
### Text: Fyter Fest is a professional wrestling event held annually during the summer by All Elite Wrestling (AEW) since 2019. After a rescheduling of the 2023 Fight for the Fallen, another annual television special that previously took place the week after Fyter Fest, AEW president Tony Khan announced that the fifth Fyter Fest would be held the week after that year's Fight for the Fallen during the go-home week for the All In pay-per-view, subsequently also moving Fyter Fest to August, which was previously held in July. While the previous year's event was held as a four-part special, the 2023 event was reduced to a three-part special due to the rescheduling of the 2023 Fight for the Fallen. The 2023 Fyter Fest in turn encompassed the August 23 episode of Wednesday Night Dynamite on TBS, the August 25 episode of Friday Night Rampage on TNT, and the August 26 episode of Saturday Night Collision also on TNT—Collision launched as a third program for AEW in June. Rampage was taped on August 19 at the Rupp Arena in Lexington, Kentucky and aired on tape delay on August 25, while Dynamite and Collision were both held on August 23 at the Gas South Arena in Duluth, Georgia with Dynamite airing live that night and Collision airing on tape delay on August 26.",7
Q_163,On which date did the live episode of Wednesday Night Dynamite take place?,"['August 19', 'August 23', 'August 25', 'August 26']",1,"### Article: Fyter Fest (2023).
### Section: Production.
### Subsection: Background.
### Text: Fyter Fest is a professional wrestling event held annually during the summer by All Elite Wrestling (AEW) since 2019. After a rescheduling of the 2023 Fight for the Fallen, another annual television special that previously took place the week after Fyter Fest, AEW president Tony Khan announced that the fifth Fyter Fest would be held the week after that year's Fight for the Fallen during the go-home week for the All In pay-per-view, subsequently also moving Fyter Fest to August, which was previously held in July. While the previous year's event was held as a four-part special, the 2023 event was reduced to a three-part special due to the rescheduling of the 2023 Fight for the Fallen. The 2023 Fyter Fest in turn encompassed the August 23 episode of Wednesday Night Dynamite on TBS, the August 25 episode of Friday Night Rampage on TNT, and the August 26 episode of Saturday Night Collision also on TNT—Collision launched as a third program for AEW in June. Rampage was taped on August 19 at the Rupp Arena in Lexington, Kentucky and aired on tape delay on August 25, while Dynamite and Collision were both held on August 23 at the Gas South Arena in Duluth, Georgia with Dynamite airing live that night and Collision airing on tape delay on August 26.",7
Q_192,On what date did the special grand jury convene in this case?,"['January 19, 2022', 'August 14, 2022', 'January 1, 2022', '2023']",0,"### Article: Georgia election racketeering prosecution.
### Section: Background.
### Subsection: Coffee County election equipment breach.
### Text: January 19 text messages between two men hired by the Trump legal team show intent to use the data to decertify the Georgia presidential results as well as the 2021 Georgia runoff election. The texts were between Sidney Powell associate Jim Penrose, a former National Security Agency official, and Doug Logan, whose firm Cyber Ninjas later ran the 2021 Maricopa County presidential ballot audit. The firm SullivanStrickler was subpoenaed by the special grand jury convened in this case in 2022. The company has insisted it is ""politically agnostic"" and had simply accepted paid work as a third-party contractor for the Trump campaign. During the investigation, the two Trump operatives admitted that Sidney Powell had sent them and that they had accessed a voting machine inside the building. Cathy Latham, one of the fake electors who had escorted them into the building, invoked the Fifth Amendment. Of the 18 co-defendants indicted on August 14, 2023, four—Powell, Hampton, Latham, and Hall—are charged in the Coffee County breach.",8
Q_193,Who is the associate of Sidney Powell mentioned in the text?,"['Doug Logan', 'Jim Penrose', 'Cathy Latham', 'Hampton']",1,"### Article: Georgia election racketeering prosecution.
### Section: Background.
### Subsection: Coffee County election equipment breach.
### Text: January 19 text messages between two men hired by the Trump legal team show intent to use the data to decertify the Georgia presidential results as well as the 2021 Georgia runoff election. The texts were between Sidney Powell associate Jim Penrose, a former National Security Agency official, and Doug Logan, whose firm Cyber Ninjas later ran the 2021 Maricopa County presidential ballot audit. The firm SullivanStrickler was subpoenaed by the special grand jury convened in this case in 2022. The company has insisted it is ""politically agnostic"" and had simply accepted paid work as a third-party contractor for the Trump campaign. During the investigation, the two Trump operatives admitted that Sidney Powell had sent them and that they had accessed a voting machine inside the building. Cathy Latham, one of the fake electors who had escorted them into the building, invoked the Fifth Amendment. Of the 18 co-defendants indicted on August 14, 2023, four—Powell, Hampton, Latham, and Hall—are charged in the Coffee County breach.",8
Q_194,What is the name of the firm that was subpoenaed by the special grand jury?,"['Cyber Ninjas', 'SullivanStrickler', 'Trump Legal Team', 'National Security Agency']",1,"### Article: Georgia election racketeering prosecution.
### Section: Background.
### Subsection: Coffee County election equipment breach.
### Text: January 19 text messages between two men hired by the Trump legal team show intent to use the data to decertify the Georgia presidential results as well as the 2021 Georgia runoff election. The texts were between Sidney Powell associate Jim Penrose, a former National Security Agency official, and Doug Logan, whose firm Cyber Ninjas later ran the 2021 Maricopa County presidential ballot audit. The firm SullivanStrickler was subpoenaed by the special grand jury convened in this case in 2022. The company has insisted it is ""politically agnostic"" and had simply accepted paid work as a third-party contractor for the Trump campaign. During the investigation, the two Trump operatives admitted that Sidney Powell had sent them and that they had accessed a voting machine inside the building. Cathy Latham, one of the fake electors who had escorted them into the building, invoked the Fifth Amendment. Of the 18 co-defendants indicted on August 14, 2023, four—Powell, Hampton, Latham, and Hall—are charged in the Coffee County breach.",8
Q_195,"How many co-defendants were indicted on August 14, 2023?","['10', '15', '18', '20']",2,"### Article: Georgia election racketeering prosecution.
### Section: Background.
### Subsection: Coffee County election equipment breach.
### Text: January 19 text messages between two men hired by the Trump legal team show intent to use the data to decertify the Georgia presidential results as well as the 2021 Georgia runoff election. The texts were between Sidney Powell associate Jim Penrose, a former National Security Agency official, and Doug Logan, whose firm Cyber Ninjas later ran the 2021 Maricopa County presidential ballot audit. The firm SullivanStrickler was subpoenaed by the special grand jury convened in this case in 2022. The company has insisted it is ""politically agnostic"" and had simply accepted paid work as a third-party contractor for the Trump campaign. During the investigation, the two Trump operatives admitted that Sidney Powell had sent them and that they had accessed a voting machine inside the building. Cathy Latham, one of the fake electors who had escorted them into the building, invoked the Fifth Amendment. Of the 18 co-defendants indicted on August 14, 2023, four—Powell, Hampton, Latham, and Hall—are charged in the Coffee County breach.",8
Q_200,"Who directed the alternate electors to convene, according to their filings?","['Their own lawyers', 'Trump via his attorneys', 'A Georgia state court judge', 'The Electoral Count Act of 1887']",1,"### Article: Georgia election racketeering prosecution.
### Section: Pretrial motions.
### Subsection: Attempts to remove to federal court.
### Text: They asserted in these filings that they had convened as alternate electors ""at the direction of"" Trump via his attorneys, making them federal officials. At a hearing on September 20, their lawyers argued that the Electoral Count Act of 1887 legally allowed the casting of contingent electoral ballots because a Georgia state court case was still pending past the specified safe harbor date, six days before the electoral vote date. On September 29, Jones rejected the motion, noting that federal law does not in fact explicitly create the position of contingent elector. On October 6, Shafer, Latham, and Still appealed. Though Trump had formally indicated he might seek removal to federal court, he told the court on September 28, the day before his deadline to seek removal, that he would not do so.",9
Q_201,What was the specified safe harbor date in relation to the electoral vote date?,"['Six days before', 'Six days after', 'One month before', 'One month after']",0,"### Article: Georgia election racketeering prosecution.
### Section: Pretrial motions.
### Subsection: Attempts to remove to federal court.
### Text: They asserted in these filings that they had convened as alternate electors ""at the direction of"" Trump via his attorneys, making them federal officials. At a hearing on September 20, their lawyers argued that the Electoral Count Act of 1887 legally allowed the casting of contingent electoral ballots because a Georgia state court case was still pending past the specified safe harbor date, six days before the electoral vote date. On September 29, Jones rejected the motion, noting that federal law does not in fact explicitly create the position of contingent elector. On October 6, Shafer, Latham, and Still appealed. Though Trump had formally indicated he might seek removal to federal court, he told the court on September 28, the day before his deadline to seek removal, that he would not do so.",9
Q_202,On what date did Jones reject the motion to remove to federal court?,"['September 20', 'September 28', 'September 29', 'October 6']",2,"### Article: Georgia election racketeering prosecution.
### Section: Pretrial motions.
### Subsection: Attempts to remove to federal court.
### Text: They asserted in these filings that they had convened as alternate electors ""at the direction of"" Trump via his attorneys, making them federal officials. At a hearing on September 20, their lawyers argued that the Electoral Count Act of 1887 legally allowed the casting of contingent electoral ballots because a Georgia state court case was still pending past the specified safe harbor date, six days before the electoral vote date. On September 29, Jones rejected the motion, noting that federal law does not in fact explicitly create the position of contingent elector. On October 6, Shafer, Latham, and Still appealed. Though Trump had formally indicated he might seek removal to federal court, he told the court on September 28, the day before his deadline to seek removal, that he would not do so.",9
Q_203,Who told the court on September 28 that they would not seek removal to federal court?,"['Trump', 'Jones', 'Shafer', 'Latham']",0,"### Article: Georgia election racketeering prosecution.
### Section: Pretrial motions.
### Subsection: Attempts to remove to federal court.
### Text: They asserted in these filings that they had convened as alternate electors ""at the direction of"" Trump via his attorneys, making them federal officials. At a hearing on September 20, their lawyers argued that the Electoral Count Act of 1887 legally allowed the casting of contingent electoral ballots because a Georgia state court case was still pending past the specified safe harbor date, six days before the electoral vote date. On September 29, Jones rejected the motion, noting that federal law does not in fact explicitly create the position of contingent elector. On October 6, Shafer, Latham, and Still appealed. Though Trump had formally indicated he might seek removal to federal court, he told the court on September 28, the day before his deadline to seek removal, that he would not do so.",9
Q_240,What was the maximum sustained wind speed of Tropical Storm Harold?,"['40 mph', '50 mph', '60 mph', '70 mph']",1,"### Article: Tropical Storm Harold.
### Section: Preparations and impact.
### Subsection: Southwestern United States.
### Text: 15 in (131 mm) in Portland. Although Harold's maximum sustained winds only reached 50 mph (80 km/h), wind gusts of up to 67 mph (108 km/h) were reported at Loyola Beach, in addition to gusts of 65 mph (105 km/h) in Corpus Christi. Over 35,000 homes and business lost power due to Harold. No fatalities were reported from the storm. The remnants of Tropical Storm Harold also brought rainfall to Colorado, with 0. 73 in (19 mm) of rain falling in Denver. The highest rainfall total in the state was 2. 49 in (63 mm) in Nathrop. The storm brought the first Atlantic tropical rain in the state in 15 years. Moisture from Harold combining with the remnants of Eastern Pacific Hurricane Hilary also led to rainfall in parts of Arizona and Nevada.",11
