,topic_name,section,subsection,text
10,United States abortion protests (2022–present),Protests before the ruling,West,"Alaska saw protests in Anchorage, Fairbanks, and Haines. In Arizona, hundreds protested in Phoenix and Tucson. Additionally, two women organized a demonstration in San Luis, Arizona.In Colorado, there were demonstrations in Aspen, Colorado Springs, Denver, Fort Collins, and Grand Junction.A demonstration was held in Boise, Idaho.  On November 10, two abortion rights protesters who were present at the Boise, Idaho protests filed tort claims against the city, alleging that they were falsely arrested and imprisoned in violation of constitutional rights to peacefully assemble.Hawaii faced protests outside the District of Hawaii courthouse in Honolulu as well as other places like Waimea. Montana saw protests in Billings, Bozeman, Helena, and Missoula. A protest was also held in Las Vegas, Nevada.In New Mexico, there were demonstrations in Albuquerque, Las Cruces, and Santa Fe. On May 14, Albuquerque saw more than 200 protesters gather at Tiguex Park and march around Old Town.In Oregon, approximately 200 people gathered outside the Deschutes County Courthouse in Bend. The ""Rally for Womb Rights: We Will Never Go Back"" event in Eugene was held outside the Wayne Lyman Morse United States Courthouse. Several hundred people participated in the rally at Lownsdale Square in downtown Portland. There was some damage by ""splinter groups"", which was condemned by mayor Ted Wheeler, and one person was arrested. On May 3, hundreds marched from Riverfront Park to the Oregon State Capitol in Salem. On May 14, protesters on both sides of the issue gathered in front of the Federal Courthouse in Eugene. On May 15, about 400 protesters gathered in front of the Oregon State Capitol in Salem for the second annual ""Defend Roe"" rally, organized by ""Pro Choice with Heart.""In Utah, protests were held in Salt Lake City and St. George. On May 14, about 4,000 protesters rallied at the Utah State Capitol for a Bans Off Our Bodies protest.In the state of Washington, there were demonstrations in Bellingham, Olympia, Richland,  Spokane, Tacoma, Vancouver, and Walla Walla. Additionally, approximately 60 people gathered at the Clallam County Courthouse in Port Angeles, and dozens gathered outside the courthouse in Port Townsend. A demonstration was also held in Jackson Hole, Wyoming. In Seattle, protests were held at Westlake Park downtown on May 3 and on May 5, a protest was organized by students on the campus of the University of Washington."
11,United States abortion protests (2022–present),Protests before the ruling,Outside the United States,"Hundreds attended a demonstration at Dam Square in Amsterdam. Two people were arrested. A demonstration was also held in Battersea, London."
12,United States abortion protests (2022–present),Women's March,,"Women's March, along with Planned Parenthood and other abortion-rights groups, organized large-scale marches across the United States on May 14."
13,United States abortion protests (2022–present),Response,About protests outside private homes,"After protests outside of the homes of Justices John Roberts and Brett Kavanaugh in early May 2022, White House Press Secretary Jen Psaki tweeted that while President Joe Biden was a strong believer in the constitutional right to protest, it should never include violence, threats, or vandalism. Psaki added that Judges were a highly important function in the United States and must be able to do their jobs without concern for personal safety. The U.S. Capitol Police and the National Fusion Center Association alerted to potential violence in Washington, D.C., against the nine justices and their staffs as well as nationwide against abortion-related advocacy groups and First Amendment-protected events. In May, senators Chris Coons (D-DE) and John Cornyn (R-TX) introduced legislation to allow Supreme Court Police to provide all nine justices and their families 24-hour protection. The bill passed the U.S. House of Representatives on June 14 in a 396–27 vote, with opposition from some New Jersey Democrats who wished to broaden the bill to also protect the family members of Supreme Court staff, and was signed into law by President Biden on June 16.Republicans argued that those protests violate a 1950 federal law that criminalizes attempting to influence a judge in the course of their official duties by demonstrating at their residence. Maryland governor Larry Hogan and Virginia governor Glenn Youngkin cited the law in a request to the U.S. Department of Justice for adequate resources to protect the justices and their families. Justice Clarence Thomas said the Supreme Court would not ""be bullied"" by the demonstrators. Senator Ted Cruz (R-TX) stated in an interview with Maria Bartiromo on Fox News that the protests at the Justices homes were ""mob violence to get their partisan outcome""; however, reports from both protests claimed to show no violence and about 100 protestors attending the protests.On May 16, Florida governor Ron DeSantis signed a law making it a second-degree misdemeanor to protest in front of private citizen's homes in Florida, saying, ""Sending unruly mobs to private residences, like we have seen with the angry crowds in front of the homes of Supreme Court justices, is inappropriate."" Despite the timing, the law was unrelated to the Dobbs decision, as it had been introduced two months prior."
14,United States abortion protests (2022–present),Protests after the ruling,2022,"On June 24, 2022, anti-abortion and pro-abortion rights activists demonstrated outside the Supreme Court building following the decision to overturn Roe and Casey. By noon, there was a major police presence around the Supreme Court building and the Capitol building, including police with riot gear, and police squad cars and SUVs. Multiple streets were barricaded by police.Protests also occurred in cities and towns across the country, drawing large crowds of demonstrators, with many activists calling for more action from Democratic lawmakers.On June 30, more than 180 abortion rights protesters were arrested in Washington, D.C. after sitting and blocking an intersection near the Supreme Court.On July 4, abortion rights protests were held across the country, including Washington, D.C., New York City, Philadelphia, Boston, Los Angeles, Sacramento, San Francisco, San Diego, Portland, Seattle, Chicago, Minneapolis, Kansas City, Springfield, Madison, Milwaukee, Lansing, Detroit, Bloomington, Columbus, Cleveland, Cincinnati, Denver, Charlotte, Asheville, Atlanta, Roanoke, Birmingham, Tampa, Miami, Las Vegas, Albuquerque, Salt Lake City, San Antonio, Austin, and Houston.On July 9, another day of abortion rights protests occurred in cities across the country, with over 10,000 people marching in Washington, D.C.On July 19, 35 abortion rights protesters including 17 members of Congress were arrested in Washington, D.C. after blocking an intersection near the Supreme Court.On August 2, Kansas became the first state in the country to vote on abortion rights after the overturn of Roe v. Wade, rejecting an amendment that would have removed abortion rights from the state constitution.On October 8, thousands of people marched and rallied in abortion rights protests in cities across the country, in conjunction with the Women's March in Washington, D.C..On November 2, three abortion rights protesters were arrested in Washington, D.C. after interrupting arguments during a Supreme Court session.In the 2022 United States elections, three states (California, Michigan and Vermont) voted to codify abortion and contraception rights into their state constitutions, and two states voted against state constitution amendments that would have banned and criminalized abortion (Kentucky and Montana)."
15,United States abortion protests (2022–present),Protests after the ruling,2023,"On January 20, abortion rights protesters disrupted an anti-abortion service in Washington, D.C..On January 22, to mark the 50th anniversary of Roe v. Wade, thousands of abortion rights protesters rallied and marched at more than 200 Women's March events in 46 states.On April 8, following Texas federal judge Matthew Kacsmaryk's decision to withdraw federal approval of the drug mifepristone, abortion rights protests were held in Atlanta, Austin, Boston, Chicago, Cleveland, Detroit, Honolulu, Houston, Los Angeles, Madison, Wisconsin, New York City, Philadelphia, Seattle and Washington DC.On April 15, thousands of abortion rights protesters rallied and marched nationwide in response to the mifepristone decision.  On April 21, the Supreme Court left the FDA approval of mifepristone in place while legal proceedings continue.On June 24, the one year anniversary of Roe v. Wade being overturned, thousands of abortion rights protesters rallied and marched at hundreds of events across the United States.On September 12, women and doctors in Idaho, Oklahoma and Tennessee filed lawsuits against their states over the states' abortion bans, stating that they were denied abortions despite having dangerous pregnancy complications.In the 2023 United States elections, Ohio voters passed November 2023 Ohio Issue 1, enshrining abortion and contraception rights into the state constitution.  In Virginia, Democrats retook full control of the General Assembly after campaigning on abortion rights following Governor Glenn Youngkin's promise to institute a 15-week abortion ban in the state if the Republicans gained a majority."
16,United States abortion protests (2022–present),Protests after the ruling,Midwest,
17,United States abortion protests (2022–present),Protests after the ruling,Northeast,
18,United States abortion protests (2022–present),Protests after the ruling,South,
19,United States abortion protests (2022–present),Protests after the ruling,West,
20,United States abortion protests (2022–present),Protests after the ruling,Outside the United States,"Protests supporting the ruling have been held in the United Kingdom and Ireland.Protests against the ruling were held in Germany, Argentina, Mexico, France, the United Kingdom, Australia, Canada, and Ireland."
21,United States abortion protests (2022–present),Notes,,
22,All Star Junior Festival USA 2023,Summary,,"All Star Junior Festival USA 2023 was an interpromotional professional wrestling event organized by New Japan Pro-Wrestling (NJPW) that aired on NJPW World pay-per-view. It took place on August 19, 2023 at the 2300 Arena in Philadelphia, Pennsylvania. The event was produced by NJPW wrestlers Hiromu Takahashi and Rocky Romero, and featured the participation of junior heavyweight wrestlers representing various promotions from around the world."
23,All Star Junior Festival USA 2023,Production,Background,"On April 16, 2023, New Japan Pro-Wrestling (NJPW) officially announced the All Star Junior USA Festival. The event was produced by NJPW's Hiromu Takahashi and Rocky Romero, and featured junior heavyweight wrestlers from  different Japanese and international promotions."
24,All Star Junior Festival USA 2023,Production,Participating promotions,"As part of the event's publicity efforts, participants were announced each day throughout the months of July and August by NJPW on Twitter."
25,All Star Junior Festival USA 2023,Production,Storylines,"The event featured ten professional wrestling matches, which involved different wrestlers from pre-existing scripted feuds, plots, and storylines. Wrestlers portrayed heroes, villains, or less distinguishable characters in scripted events that built tension and culminated in a wrestling match. Storylines were produced on New Japan's television program."
26,All Star Junior Festival USA 2023,Results,All Star Jr. Festival USA tournament,"The All Star Jr. Festival USA four-man tournament took place on August 19, 2023."
27,American–Japanese–Korean trilateral pact,Summary,,"The American–Japanese–Korean trilateral pact, Camp David Principles or simply with acronym JAROKUS is a security pact  between Japan, South Korea, and the United States which was announced on 18 August 2023, at Camp David in the United States. The pact commits the three countries to a set of agreements and is regarded as one of U.S. led international security alliances in recent decade, including Quad Plus and AUKUS."
28,American–Japanese–Korean trilateral pact,Background,Japan–South Korea relations and Indo-Pacific threats,"From 1910 to 1945, Korea was ruled by the Empire of Japan. Under Japanese rule, Korean women—primarily from South Korea—were forced into sexual slavery by the Imperial Japanese Army. Japan's rule of Korea has strained relations between the two countries. With the incoming administrations of South Korean president Yoon Suk Yeol and Japanese prime minister Fumio Kishida, both countries made significant amends. In March 2023, Yoon ended the South Korean government's requests to Japanese companies to pay Korean laborers enslaved during World War II. South Korea and Japan have supported Ukraine during the Russian invasion of Ukraine as China and Russia have furthered their relations.China's presence in the Indo-Pacific region has concerned the United States; relations between the two countries has remained low. In October 2022, North Korea fired a missile over Japan, followed by a nuclear threat to South Korea in March 2023. Through an agreement with the United States, Japan and South Korea have real-time information on North Korea's ballistic missiles."
29,American–Japanese–Korean trilateral pact,Background,Attempts to stabilize the Indo-Pacific region,"In April 2023, U.S. President Joe Biden announced that any attacks against South Korea by North Korea would result in the ""end"" of Kim Jong Un's rule. At the White House, Yoon vowed to produce nuclear weapons. Japan declined to participate in a move attributed by the United States to domestic politics."
30,American–Japanese–Korean trilateral pact,Camp David summit,,"At Camp David on 18 August 2023, Biden announced the pact, marking the first time that international leaders visited the retreat since 2015, when then-president Barack Obama held a Gulf Cooperation Council summit there. The summit was the first time in Biden's presidency that journalists were allowed on Camp David's grounds."
31,American–Japanese–Korean trilateral pact,Implementation,,"The pact implements a formal casus foederis in which a threat to one member constitutes a threat against all, but does not mirror Article 5 of the North Atlantic Treaty; the response to an attack against one member must be discussed. The pact also improves trilateral ballistic missile defense and military exercises. The three countries will develop a security framework for the Indo-Pacific region."
32,August 2023 Ohio Issue 1,Summary,,"A special election was held in the U.S. state of Ohio on August 8, 2023, on a referendum that would have made it substantially harder for voter-led initiatives to amend the Ohio State Constitution be proposed and approved.The initiative was defeated by a decisive margin of 57% to 43% amid unusually high voter turnout for an off-year election held in August, with over 3 million ballots cast overall.
The intent of this initiative, according to its creator, Republican State Representative Brian Stewart, was to ""[stop] a whole host of [referendum] issues that we know are coming down the pike"" including on redistricting, qualified immunity, the minimum wage and, most notably, abortion; a referendum to restore Roe v. Wade-era access to abortion in the state appeared on the November 2023 ballot and passed by a 57% to 43% margin."
33,August 2023 Ohio Issue 1,Background,,"Issue 1 was proposed by State Representative Stewart and the state's top election official, Secretary of State Frank LaRose. According to Stewart, Issue 1 is intended to stop ""far-left ballot proposals"" and ""ballot campaigns [featuring] destructive policies that [liberal groups] could never get through a state legislature"", while according to LaRose, Issue 1 is ""100% about keeping a radical pro-abortion amendment out of our constitution"". LaRose later claimed that his statement was taken out of context and generally called the issue a ""good government"" move that blocks influence from out-of-state special interests.The amendment was supported by the Republican Party of Ohio and opposed by a multipartisan coalition of groups including the Democratic Party of Ohio, Libertarian Party of Ohio, Green Party of Ohio, and several former Republican officials; with the former claiming that the amendment was necessary to prevent advocacy groups from lobbying their interests into the state constitution, and the latter arguing that the amendment was undemocratic and would result in minority rule. Four former governors of Ohio, John Kasich, Ted Strickland, Bob Taft, and Dick Celeste, favored a ""no"" vote on Issue 1, along with a large majority of Ohio newspapers, who argued that Issue 1's passage would have the effect of centralizing power in the state government and limit the power of voters to effect political change. Incumbent Republican governor Mike DeWine supported it.The issue was widely seen as being related to the issue of abortion in Ohio, as a referendum to restore legal access to elective abortion in the state would be held in November 2023. Thus, the scheduling of the Issue 1 vote was seen as an attempt to raise the success threshold before the abortion vote could take place. In addition, advocacy groups also attempted to use the referendum as an attack to LGBT rights, mainly, transgender rights.The decision to hold the election in August as opposed to November was criticized as an attempt to help the amendment's passage by capitalizing on historically low voter turnout in special elections. In fact, the Ohio General Assembly had passed, and Governor DeWine had signed, House Bill 458 just months earlier, among the provisions of which eliminated August special elections except in cases of fiscal emergency; the stated rationale for this provision, given by Secretary of State Frank LaRose and others at the time, was the consistently low turnout seen in historical August elections. After the Issue 1 vote was scheduled for August 2023, LaRose defended this apparent contradiction by saying that HB 458 does not apply to state legislators, who are free to select any date they wish for a referendum on a constitutional amendment they refer to voters. Democrats rebutted this point, saying that legislators should have chosen from a list of election days that had already been set. A lawsuit was filed over the timing of the election, but on June 16, in a 4–3 ruling, the Ohio Supreme Court agreed with LaRose's interpretation and decided the election would continue as scheduled. The election cost state taxpayers $20 million.
Similar amendments to require supermajority support for state constitutional amendments have failed in various states, most recently in Arkansas in 2022. A comparable measure passed in Florida in 2006.In June 2023, the Ohio Supreme Court ruled that part of the amendment was misleading and would have to be rewritten by the state's Ballot Board.Political scientist Jacob M. Grumbach claimed the passage of Issue 1 would likely lead to democratic backsliding, citing the proposed measure as among a ""growing use of moves that defy norms of democratic behavior""."
34,August 2023 Ohio Issue 1,Provisions,,"If approved by voters, the amendment would have changed the Ohio State Constitution, modifying the Initiative and Referendum Process Amendment of 1912, which created a method for citizen-initiated direct democracy in Ohio.A ""yes"" vote on Issue 1 was a vote to change the Ohio Constitution by:

Requiring signatures from all 88 counties to get an amendment on the ballot, instead of the current 44 counties (50%).
Removing the 10-day cure period (a period allowing fixes to any errors in the collected signatures).
Increasing the passing percentage from a simple majority (50%+1) vote to a three-fifths supermajority (60%) on citizen and legislature-initiated referendums.Had the amendment passed the second and third  provisions would have taken effect immediately, while the first provision would have taken effect on January 1, 2024.A ""no"" vote on Issue 1 was a vote to keep the Ohio Constitution as is, by:

Keeping the number of counties from which signatures are required to get an amendment on the ballot at 44 counties (50%)
Keeping the 10-day cure period.
Maintaining the passing percentage of a citizen-initiated referendum at a simple majority (50%+1 vote), without creating a difference between citizen-initiated referendums and legislature-initiated referendums."
35,August 2023 Ohio Issue 1,Endorsements,,
36,August 2023 Ohio Issue 1,Polling,,
37,August 2023 Ohio Issue 1,Turnout and outcome,,"Voter turnout was unusually high, particularly for an August ballot, with approximately 39% of registered voters casting votes on the issue. The Columbus Dispatch reported that it was the highest turnout for a non-general election since the 2016 primary.Excluding outstanding absentee by mail and provisional ballots, the Dispatch reported late on August 8 with more than 99% of the votes counted that the referendum failed by a margin of more than 14%. Of the more than 3 million votes counted, 57.11% were ""no"" votes and 42.89% voted ""yes"". Decision Desk HQ, an election results reporting agency, called the race around 8:09 p.m. EDT, while The Associated Press projected that Issue 1 had failed around 9 p.m. EDT.


"
38,Burning Man 2023,Summary,,"Burning Man 2023 was a week-long gathering in the Black Rock Desert in Pershing County, Nevada. The 35th Burning Man event, it took place from August 27 to September 4, 2023. An estimated 73,000 people attended the festival.
Torrential weather severely affected the festival near its conclusion, leaving attendees stranded as some began an exodus. One fatality was reported."
39,Burning Man 2023,Background,,"Burning Man is a week-long gathering of art, community, self-expression, and self-reliance held in the Black Rock Desert in Pershing County, Nevada. The festival lies on Lake Lahontan, a large lake that desiccated due to Pleistocene climate change, leaving a dry lake, or playa, in the northwestern Nevada region. Burning Man attracts tens of thousands of attendees, including artists, musicians, and activists. The event is guided by self-sufficiency; most attendees must bring their own food, water, and supplies in an event similar to wilderness camping with performances. Burning Man features an eponymous burning of a large, wooden effigy known as the ""Man"". Attendees, known as ""Burners"", create a civilization known as Black Rock City comprising villages, a medical center, and an airport. To enter Burning Man, participants must either use the airport or a section of Nevada State Route 447."
40,Burning Man 2023,Festival,,"The theme of Burning Man 2023 was ""Animalia"", celebrating the ""animal world and our place in it"". Organizers closed Burning Man's gates before the event due to Hurricane Hilary. The beginning of the festival was disrupted when protesters blocked the highway to the Black Rock Desert asking for organizers to ban private planes, single-use plastics, and limit its power usage. Four people were arrested. A box representing war-torn Ukraine entitled ""Phoenix"" was burned at the festival, the work of fabricators in Kyiv and Chicago. Before its burning, the box played audio of explosions and air raid sirens as an opera singer performed a Ukrainian song. An estimated 73,000 people attended the festival at a cost of US$575 per person for a regular ticket.Celebrities who attended the festival included Diplo, Chris Rock, Kelly Gale, and Joel Kinnaman."
